Blue Pearl Amulet,青真珠のアミュレット
Zerphi's Heart,ザーフィの心臓
Sacrificial Heart,生贄の心臓
Replica Atziri's Foible,レプリカ アツィリの愚行
DrTestapus' Charm,ドクターテスタプスのチャーム
Araku Tiki,アラク・ティキ
Ngamahu Tiki,ンガマフ・ティキ
The Primordial Chain,原始の鎖
Tavukai,タヴカイ
The Anvil,鉄床
Blood of Corruption,汚染の血
The Rathorn,ザ・ラスホーン
Xoph's Heart,ゾフの心臓
Xoph's Blood,ゾフの血
Karui Ward,カルーイの護符
Rashkaldor's Patience,ラシュカルドールの忍耐
Karui Charge,カルーイチャージ
The Halcyon,ザ・ハルシオン
The Pandemonius,パンデモニアス
Hyrri's Truth,ヒリの真実
Willowgift,ウィローギフト
Replica Karui Ward,レプリカ カルーイの護符
Replica Hyrri's Truth,レプリカ ヒリの真実
Marylene's Fallacy,マリレーンの誤謬
Stone of Lazhwar,ラズワールの石
Tear of Purity,純粋の涙
Voice of the Storm,嵐の声
Choir of the Storm,嵐の合唱
The Ephemeral Bond,儚き絆
Doedre's Tongue,ドエドレの舌
Demigod's Presence,半神の存在
The Ignomon,ザ・イグノモン
Winterheart,ウィンターハート
Frost Unbroken,霜の途切れぬ
The Ascetic,禁欲者
Bisco's Collar,ビスコの首飾り
The Effigon,エフィゴン
Perquil's Toe,パーキルのつま先
Replica Winterheart,レプリカ・ウィンターハート
Astramentis,アストラメンティス
Carnage Heart,カーネイジ・ハート
Eye of Chayula,チャユラの目
Hinekora's Sight,ヒネコラの視界
The Learning Stone,学びの石
Duskwing,ダスクウィング
Presence of Chayula,チャウラの存在
Yoke of Suffering,苦痛の頸木
Impresence,インプレゼンス
Aul's Uprising,アウルの蜂起
Malachai's Brilliance,マラカイの輝き
Solstice Vigil,冬至の監視
Leadership's Price,指導者の対価
Stranglegasp,ストラングルガスプ
Crystallised Omniscience,結晶化した全能
Ashes of the Stars,星々の灰
The Eternal Struggle,永遠の闘争
Victario's Acuity,ビクタリオの鋭敏さ
Ungil's Harmony,アンギルの調和
Warped Timepiece,歪んだ懐中時計
Maligaro's Cruelty,マリガロのクルーエルティ
Badge of the Brotherhood,兄弟団の記章
Fury Valve,フューリーバルブ
Voll's Devotion,ヴォルの信心
Shaper's Seed,シェイパーの種
The Aylardex,アイラーデックス
Extractor Mentis,エクストラクター・メンティス
Eternal Damnation,永遠の破滅
Daresso's Salute,ダレッソの敬礼
Eye of Innocence,無垢の目
The Jinxed Juju,ジンクスド・ジュジュ
The Felbog Fang,フェルボグの牙
Retaliation Charm,報復のチャーム
Star of Wraeclast,レアクラストの星
Uul-Netol's Vow,ウル＝ネトルの誓い
Talisman of the Victor,勝利者のタリスマン
Gloomfang,グルームファング
Bloodgrip,ブラッドグリップ
Night's Hold,夜の掌握
Rigwald's Curse,リグワルドの呪い
Blightwell,ブライトウェル
Natural Hierarchy,自然な階層
Eyes of the Greatwolf,グレートウルフの目
Demigod's Eye,半神の目
Blackheart,ブラックハート
Le Heup of All,すべてのル・ヒュープ
Voidheart,ヴォイドハート
The Warden's Brand,ウォーデンの刻印
Circle of Guilt,罪の輪
Icefang Orbit,アイスファングの軌道
Venopuncture,ヴェノパンクチャー
Kaom's Sign,カオムの印
Sibyl's Lament,シビルの嘆き
Kaom's Way,カオムの道
Winterweave,ウィンターウィーブ
Doedre's Damning,ドードゥリの糾弾
Perandus Signet,ペランダス・シグネット
Praxis,プラクシス
Replica Doedre's Damning,レプリカ・ドエドレの呪い
Fated End,運命の終焉
Andvarius,アンドヴァリアス
Ventor's Gamble,ヴェンターのギャンブル
The Highwayman,ハイウェイマン
Kikazaru,キカザル
Valako's Sign,ヴァラコの印
Putembo's Valley,プテンボの谷
Putembo's Mountain,プテンボの山
Putembo's Meadow,プテンボの牧草地
Precursor's Emblem,先駆者の紋章
Circle of Regret,後悔の円環
Astral Projector,アストラルプロジェクター
Ungils's Coil,ウンギルのコイル
Storm Secret,嵐の秘密
Nimis,ニミス
Dream Fragments,夢の断片
Pyre,業火
Tasalio's Sign,タサリオの印
Snakepit,スネークピット
Uzaza's Meadow,ウザザの牧草地
Uzaza's Mountain,ウザザの山
Uzaza's Valley,ウザザの谷
Circle of Fear,恐怖の円環
Replica Tasalio's Sign,タサリオの印（レプリカ）
Call of the Void,虚無の呼び声
Mokou's Embrace,モコウの抱擁
Ngamahu's Sign,ナマフの印
Emberwake,燃え盛る目覚め
Ahkeli's Mountain,アケリの山
Ahkeli's Meadow,アケリの牧草地
Ahkeli's Valley,アケリの谷
Circle of Anguish,苦悶の円環
Warrior's Legacy,戦士の遺産
Replica Emberwake,レプリカ・燃え盛る目覚め
Lori's Lantern,ロリのランタン
The Taming,飼い慣らし
Thief's Torment,泥棒の苦悩
Shavronne's Revelation,シャヴロンの啓示
Timeclasp,タイムクラスプ
Heartbound Loop,ハートバウンド・ループ
Mana Sponge,マナスポンジ
Valyrium,ヴァリリウム
Timetwist,タイムツイスト
Anathema,アナテマ
Death Rush,死の激発
Ming's Heart,ミンの心臓
Circle of Nostalgia,郷愁の円環
Blackflame,黒い炎
Original Sin,原罪
Gifts from Above,天の恩恵
Romira's Banquet,ロミラのご馳走
Berek's Respite,ベレクの休息
Berek's Grip,ベレクの掌握
Call of the Brotherhood,兄弟の証
Berek's Pass,ベレクの通路
Rigwald's Crest,リグワルドの紋章
Voideye,ヴォイドアイ
Malachai's Artifice,マラカイの策略
Brinerot Mark,塩水腐敗の印
Redblade Band,レッドブレードバンド
Mutewind Seal,無風の封印
The Pariah,追放者
Essence Worm,エッセンスワーム
Angler's Plait,釣り人の三つ編み
The Hungry Loop,飢えたる輪
Mark of Submission,服従の印
Vivinsect,ヴィヴィンセクト
Profane Proxy,冒涜の代理人
Replica Malachai's Artifice,レプリカ・マラカイの策略
Replica Voideye,レプリカ・ヴォイドアイ
Rotblood Promise,腐敗血の誓約
Triumvirate Authority,三頭政治の権威
Band of the Victor,勝利者の帯
Mark of the Elder,エルダーの印
Stormfire,ストームファイヤー
Mark of the Shaper,シェイパーの印
Polaric Devastation,極地の壊滅
Kalandra's Touch,カランドラの接触
Prismweave,プリズムウィーブ
Chains of Time,時の鎖
Feastbind,饗宴の絆
Faminebind,飢饉の絆
The Retch,吐き気
Replica Prismweave,レプリカ・プリズムウィーブ
Bated Breath,息をのむ
Maligaro's Restraint,マリガロの拘束
Ascent From Flesh,肉体からの昇天
Coward's Chains,臆病者の鎖
Coward's Legacy,臆病者の遺産
Chains of Emancipation,解放の鎖
Replica Bated Breath,レプリカ・息をのむ
Headhunter,ヘッドハンター
Immortal Flesh,不死の肉体
Wurm's Molt,ワームの脱皮
Umbilicus Immortalis,不滅の臍帯
Cyclopean Coil,単眼のコイル
Gluttony,強欲
Hyperboreus,ヒュペルボレウス
Leash of Oblation,奉納の鎖
Bear's Girdle,熊のベルト
Replica Headhunter,レプリカ・ヘッドハンター
Pyroshock Clasp,パイロショック・クラスプ
Doryani's Invitation,ドリヤニの招待
Meginord's Girdle,メギノルドのベルト
Belt of the Deceiver,欺瞞者のベルト
Dyadian Dawn,ディアディアン・ドーン
Bisco's Leash,ビスコの鎖
String of Servitude,従属の紐
Siegebreaker,包囲破壊者
Mother's Embrace,母の抱擁
Replica Siegebreaker,レプリカ・包囲破壊者
Survivor's Guilt,生存者の罪悪感
Mageblood,メイジブラッド
Perandus Blazon,ペランダスの紋章
Sunblast,サンブラスト
Soulthirst,ソウルサースト
Soul Tether,魂を繋ぐ綱
The Flow Untethered,解き放たれた流れ
The Torrent's Reclamation,激流の奪還
Replica Soul Tether,レプリカ・ソウルテザー
The Druggery,薬屋
Arn's Anguish,アーンの苦悶
Olesya's Delight,オレシャの喜び
Graven's Secret,グレイヴンの秘密
The Magnate,巨頭
Ryslatha's Coil,リスラーサのコイル
The Tactician,戦術家
The Nomad,遊牧民
Perseverance,忍耐
Auxium,オーキシウム
The Burden of Truth,真実の重荷
Demigod's Bounty,デミゴッドの恩恵
Darkness Enthroned,即位した闇
Defiance of Destiny,運命への反抗
Tainted Pact,汚染された契約
Ikiaho's Promise,イキアホの誓い
Bloodsoaked Medallion,血に染まったメダリオン
Replica Dragonfang's Flight,竜の牙の飛翔（レプリカ）
Honoured Alliance,名誉ある同盟
Soulbound,ソウルバウンド
Tawhanuku's Timing,タウハヌクのタイミング
Chain of Endurance,耐久の鎖
Kaom's Binding,カオムの束縛
Ceinture of Benevolence,慈悲のベルト
Bound Fate,確かな運命
Focused Amulet,フォーカスアミュレット
Composite Ring,複合の指輪
Manifold Ring,多様体の指輪
Ratcheting Ring,歯止めの指輪
Helical Ring,螺旋の指輪
The Untouched Soul,手付かずの魂
Replica Hinekora's Sight,ヒネコラの視界（レプリカ）
Replica Badge of the Brotherhood,一党の記章（レプリカ）
Ixchel's Temptation,イシュチェルの誘惑
Mechanical Belt,機械的なベルト
The Utmost,最高峰
Circle of Ambition,野望の環
Grattus Signet,グラッタスの印章
Nevalius Inheritance,ネヴァリウスの相続
The Tides of Time,時の潮流
Crimson Amulet,深紅のアミュレット
Azure Amulet,深青のアミュレット
Lunar Amulet,月のアミュレット
Bloodstone Amulet,血石のアミュレット
Stellar Amulet,星のアミュレット
Solar Amulet,太陽のアミュレット
Pearlescent Amulet,玉虫色のアミュレット
Dusk Amulet,黄昏のアミュレット
Gloam Amulet,薄明のアミュレット
Penumbra Amulet,半影のアミュレット
Tenebrous Amulet,仄暗いアミュレット
Distorted Amulet,歪んだアミュレット
Lazuli Ring,青金石の指輪
Emerald Ring,エメラルドの指輪
Pearl Ring,真珠の指輪
Abyssal Signet,アビスの印章指輪
Rawhide Belt,生皮のベルト
Linen Belt,リネンのベルト
Wide Belt,幅広のベルト
Long Belt,長いベルト
Plate Belt,プレートベルト
Ornate Belt,華美なベルト
Mail Belt,メイルベルト
Double Belt,ダブルベルト
Utility Belt,実用的なベルト
Fine Belt,精巧なベルト
Igniferis,イグニフェリス
Idol of Uldurn,ウルダーンの偶像
The Everlasting Gaze,不朽の眼差し
Revered Resin,敬われし樹脂
Surefooted Sigil,確かな足取りの印章
Ligurium Talisman,リグリウムの魔除け
Nighthowl,ナイトハウール
Rondel of Fragility,脆弱のロンデル
Fixation of Yix,イクスの凝視
Strugglescream,ストラグルスクリーム
Beacon of Azis,アジスの標
Fireflower,ファイアフラワー
Serpent's Egg,蛇の卵
Prized Pain,尊ばれし苦痛
Glowswarm,グロウスウォーム
Seed of Cataclysm,災厄の種子
Cracklecreep,クラックルクリープ
Blistering Bond,焼け付く絆
Polcirkeln,プールシルケルン
Whisper of the Brotherhood,一党の囁き
The Burrower,潜る者
Levinstone,レヴィンストーン
Vigilant View,警戒の目
Evergrasping Ring,貪欲の指輪
Perandus Seal,ペランダスの印鑑指輪
Bursting Decay,溢れる腐敗
Grip of Kulemak,クーラマクの掌握
Sekhema's Resolve,セケマの決意
Midnight Braid,真夜中の組紐
Keelhaul,竜骨くぐり
Birthright Buckle,遺産のバックル
Byrnabas,バーナバス
The Gnashing Sash,歯を鳴らす帯
Circle of Protection,プロテクションの円環
Goregirdle,ゴアガードル
Infernoclasp,地獄の留め金
Spirit Link,スピリットリンク
Silverpoint,シルバーポイント
Bijouborne,ビジューボーン
Waistgate,ウェイストゲート
Zerphi's Genesis,ゼルフィの誕生
Cat O' Nine Tails,キャット・オナインテイルズ
Ingenuity,創造力
Shavronne's Satchel,シャヴロンの鞄
Victario's Study,ビクトリオの書斎
Nameless Ring,名もなき指輪
Venarius' Astrolabe,ヴェナリウスのアストロラーベ
Whispers of Infinity,無限の囁き
Prospero's Protection,プロスペロの守護
Coiling Whisper,とぐろ巻く囁き
Squirming Terror,蠢く恐怖
The Queller of Minds,精神を鎮めるもの
The Selfish Shepherd,利己的な羊飼い
The Hateful Accuser,憎悪する告発者
Betrayal's Sting,裏切りの一刺し
Enmity's Embrace,敵意の抱擁
The Arkhon's Tools,アルコーンの道具
Ynda's Stand,インダの抵抗
Binds of Bloody Vengeance,血塗られた復讐の枷
Cryonic Ring,クライオニックリング
Enthalpic Ring,エンタルピックリング
Synaptic Ring,シナプティックリング
Organic Ring,オーガニックリング
Fugitive Ring,逃走者の指輪
Formless Ring,フォームレスリング
Haunting Memories,忘れられぬ記憶
Bonemeld,ボーンメルド
The Will of Tul,トゥルの意志
The Will of Xoph,ゾフの意志
The Will of Esh,エシュの意志
The Will of Uul-Netol,ウール・ネトルの意志
The Sundered Will,砕かれた意志
Lost Unity,失われし統一
Woespike,ウォースパイク
The Unseen Hue,見えざる色彩
Cord Belt,コードベルト
Khatal's Weeping,カタルの嘆き
Khatal's Geyser,カタルの噴出
The Bandit Lord's Band,盗賊王の指輪
Replica Gifts from Above,天からの恩恵 (レプリカ)
Saresh's Darkness,サレシュの闇
Solerai's Radiance,ソレライの光輝
Screams of the Desiccated,干からびた者たちの叫び
