Life Regen,ライフ再生
Socketed Gems are Supported by Level {0} Efficacy,ソケットされたジェムはレベル{0}効果増大によりサポートされる
Socketed Gems are Supported by Level {0} Elemental Focus,ソケットされたジェムはレベル{0}元素集束によりサポートされる
Socketed Gems are Supported by Level {0} Elemental Penetration,ソケットされたジェムはレベル{0}元素耐性貫通によりサポートされる
Socketed Gems are Supported by Level {0} Empower,ソケットされたジェムはレベル{0}強化によりサポートされる
Socketed Gems are Supported by Level {0} Energy Leech,ソケットされたジェムはレベル{0}エナジーリーチによりサポートされる
Socketed Gems are Supported by Level {0} Enhance,ソケットされたジェムはレベル{0}改質によりサポートされる
Socketed Gems are Supported by Level {0} Enlighten,ソケットされたジェムはレベル{0}啓発によりサポートされる
Socketed Gems are Supported by Level {0} Feeding Frenzy,ソケットされたジェムはレベル{0}暴食によりサポートされる
Socketed Gems are Supported by Level {0} Fire Penetration,ソケットされたジェムはレベル{0}火耐性貫通によりサポートされる
Socketed Gems are Supported by Level {0} Charged Traps,ソケットされたジェムはレベル{0}チャージドトラップによりサポートされる
Socketed Gems are Supported by Level {0} Greater Multiple Projectiles,ソケットされたジェムはレベル{0}投射物追加（大）によりサポートされる
Socketed Gems are Supported by Level {0} Greater Spell Echo,ソケットされたジェムはレベル{0}グレータースペルエコーによりサポートされる
Socketed Gems are Supported by Level {0} Greater Volley,ソケットされたジェムはレベル{0}斉射（大）によりサポートされる
Socketed Gems are Supported by Level {0} Ignite Proliferation,ソケットされたジェムはレベル{0}発火拡散によりサポートされる
Socketed Gems are Supported by Level {0} Immolate,ソケットされたジェムはレベル{0}火刑によりサポートされる
Socketed Gems are Supported by Level {0} Impale,ソケットされたジェムはレベル{0}串刺しによりサポートされる
Socketed Gems are Supported by Level {0} Burning Damage,ソケットされたジェムはレベル{0}燃焼ダメージによりサポートされる
Socketed Gems are Supported by Level {0} Increased Critical Strikes,ソケットされたジェムはレベル{0}クリティカル率増加によりサポートされる
Socketed Gems are Supported by Level {0} Increased Duration,ソケットされたジェムはレベル{0}持続時間増加するによりサポートされる
Socketed Gems are Supported by Level {0} Infernal Legion,ソケットされたジェムはレベル{0}インファーナルリージョンによりサポートされる
Socketed Gems are Supported by Level {0} Iron Grip,ソケットされたジェムはレベル{0}アイアングリップによりサポートされる
Socketed Gems are Supported by Level {0} Item Quantity,ソケットされたジェムはレベル{0}アイテム数量増加によりサポートされる
Socketed Gems are Supported by Level {0} Item Rarity,ソケットされたジェムはレベル{0}アイテムレアリティ増加によりサポートされる
Socketed Gems are Supported by Level {0} Life Gain On Hit,ソケットされたジェムはレベル{0}ヒット時ライフ獲得によりサポートされる
Socketed Gems are Supported by Level {0} Lightning Penetration,ソケットされたジェムはレベル{0}雷耐性貫通によりサポートされる
Socketed Gems are Supported by Level {0} Maim,ソケットされたジェムはレベル{0}重傷によりサポートされる
Socketed Gems are Supported by Level {0} Meat Shield,ソケットされたジェムはレベル{0}肉の壁によりサポートされる
Socketed Gems are Supported by Level {0} Damage On Full Life,ソケットされたジェムはレベル{0}フルライフ時ダメージによりサポートされる
Socketed Gems are Supported by Level {0} Minefield,ソケットされたジェムはレベル{0}マインフィールドによりサポートされる
Socketed Gems are Supported by Level {0} Mirage Archer,ソケットされたジェムはレベル{0}ミラージュアーチャーによりサポートされる
Socketed Gems are Supported by Level {0} Multiple Totems,ソケットされたジェムはレベル{0}マルチトーテムによりサポートされる
Socketed Gems are Supported by Level {0} Spell Echo,ソケットされたジェムはレベル{0}スペルエコーによりサポートされる
Socketed Gems are Supported by Level {0} Onslaught,ソケットされたジェムはレベル{0}の猛攻によってサポートされる
Socketed Gems are Supported by Level {0} Volley,ソケットされたジェムはレベル{0}斉射によりサポートされる
Socketed Gems are Supported by Level {0} Vicious Projectiles,ソケットされたジェムはレベル{0}投射物強化によりサポートされる
Socketed Gems are Supported by Level {0} Physical To Lightning,ソケットされたジェムはレベル{0}物理から雷変換によりサポートされる
Socketed Gems are Supported by Level {0} Point Blank,ソケットされたジェムはレベル{0}ポイントブランクによりサポートされる
Socketed Gems are Supported by Level {0} Poison,ソケットされたジェムはレベル{0}のポイズンによってサポートされる
Socketed Gems are Supported by Level {0} Power Charge On Critical Strike,ソケットされたジェムはレベル{0}クリティカル時パワーチャージによりサポートされる
Socketed Gems are Supported by Level {0} Pulverise,ソケットされたジェムはレベル{0}強打によりサポートされる
Socketed Gems are Supported by Level {0} Rage,ソケットされたジェムはレベル{0}憤怒によりサポートされる
Socketed Gems are Supported by Level {0} Ranged Attack Totem,ソケットされたジェムはレベル{0}のレンジドアタックトーテムによってサポートされる
Socketed Gems are Supported by Level {0} Swift Affliction,ソケットされたジェムはレベル{0}スウィフトアフリクションによりサポートされる
Socketed Gems are Supported by Level {0} Block Chance Reduction,ソケットされたジェムはレベル{0}ブロック率減少によりサポートされる
Socketed Gems are Supported by Level {0} Less Duration,ソケットされたジェムはレベル{0}持続時間低下によりサポートされる
Socketed Gems are Supported by Level {0} High-Impact Mine,ソケットされたジェムはレベル{0}衝撃強化マインによりサポートされる
Socketed Gems are Supported by Level {0} Ruthless,ソケットされたジェムはレベル{0}ルースレスによりサポートされる
Socketed Gems are Supported by Level {0} Shockwave,ソケットされたジェムはレベル{0}ショックウェーブによりサポートされる
Socketed Gems are Supported by Level {0} Slower Projectiles,ソケットされたジェムはレベル{0}投射物低速化によりサポートされる
Socketed Gems are Supported by Level {0} Spell Cascade,ソケットされたジェムはレベル{0}スペルカスケードによりサポートされる
Socketed Gems are Supported by Level {0} Intensify,ソケットされたジェムはレベル{0}インテンシファイによりサポートされる
Socketed Gems are Supported by Level {0} Ancestral Call,ソケットされたジェムはレベル{0}アンセストラルコールによりサポートされる
Socketed Gems are Supported by Level {0} Infused Channelling,ソケットされたジェムはレベル{0}チャネリング注入によりサポートされる
Socketed Gems are Supported by Level {0} Elemental Army Support,ソケットされたジェムはレベル{0}元素の軍勢によりサポートされる
Socketed Gems are Supported by Level {0} Summon Phantasm,ソケットされたジェムはレベル{0}ファンタズム召喚によりサポートされる
Socketed Gems are Supported by Level {0} Swift Assembly,ソケットされたジェムはレベル{0}高速組立によりサポートされる
Socketed Gems are Supported by Level {0} Advanced Traps,ソケットされたジェムはレベル{0}トラップ改良によりサポートされる
Socketed Gems are Supported by Level {0} Unbound Ailments,ソケットされたジェムはレベル{0}状態異常解放によりサポートされる
Socketed Gems are Supported by Level {0} Unleash,ソケットされたジェムはレベル{0}解放によりサポートされる
Socketed Gems are Supported by Level {0} Void Manipulation,ソケットされたジェムはレベル{0}虚空制御によりサポートされる
Socketed Gems are Supported by Level {0} Withering Touch,ソケットされたジェムはレベル{0}ヒット時衰弱によりサポートされる
Socketed Gems are Supported by Level {0} Concentrated Effect,ソケットされたジェムはレベル{0}効果濃縮によりサポートされる
Socketed Gems are Supported by Level {0} Trap,ソケットされたジェムはレベル{0}トラップ化によりサポートされる
Socketed Gems are Supported by Level {0} Cluster Trap,ソケットされたジェムはレベル{0}クラスタートラップによりサポートされる
Socketed Gems are Supported by Level {0} Multiple Traps,ソケットされたジェムはレベル{0}マルチトラップによりサポートされる
Socketed Gems are Supported by Level {0} Trap And Mine Damage,ソケットされたジェムはレベル{0}トラップ・マインダメージによりサポートされる
Socketed Gems are Supported by Level {0} Added Chaos Damage,ソケットされたジェムはレベル{0}混沌ダメージ追加によりサポートされる
Socketed Gems are Supported by Level {0} Blood Magic,ソケットされたジェムはレベル{0}のブラッドマジックによってサポートされる
Socketed Gems are Supported by Level {0} Added Fire Damage,ソケットされたジェムはレベル{0}火ダメージ追加によりサポートされる
Socketed Gems are Supported by Level {0} Cold to Fire,ソケットされたジェムはレベル{0}冷気から火変換によりサポートされる
Socketed Gems are Supported by Level {0} Spell Totem,ソケットされたジェムはレベル{0}スペルトーテムによりサポートされる
Socketed Gems are Supported by Level {0} Elemental Proliferation,ソケットされたジェムはレベル{0}元素拡散によりサポートされる
Socketed Gems are Supported by Level {0} Added Lightning Damage,ソケットされたジェムはレベル{0}雷ダメージ追加によりサポートされる
Socketed Gems are Supported by Level {0} Melee Physical Damage,ソケットされたジェムはレベル{0}近接物理ダメージによりサポートされる
Socketed Gems are Supported by Level {0} Faster Attacks,ソケットされたジェムはレベル{0}アタックスピード増加によりサポートされる
Socketed Gems are supported by Level {0} Blind,ソケットされたジェムはレベル{0}盲目付与によりサポートされる
Socketed Gems are supported by Level {0} Melee Splash,ソケットされたジェムはレベル{0}近接スプラッシュによりサポートされる
Socketed Gems are supported by Level {0} Cast On Critical Strike,ソケットされたジェムはレベル{0}クリティカル時キャストによりサポートされる
Socketed Gems are supported by Level {0} Cast when Stunned,ソケットされたジェムはレベル{0}スタン時キャストによりサポートされる
Socketed Gems are supported by Level {0} Cast on Death,ソケットされたジェムはレベル{0}死亡時キャストによりサポートされる
Socketed Gems are supported by Level {0} Stun,ソケットされたジェムはレベル{0}スタンによりサポートされる
Socketed Gems are supported by Level {0} Additional Accuracy,ソケットされたジェムはレベル{0}命中率追加によりサポートされる
Socketed Gems are supported by Level {0} Multistrike,ソケットされたジェムはレベル{0}マルチストライクによりサポートされる
Socketed Gems are supported by Level {0} Faster Projectiles,ソケットされたジェムはレベル{0}投射物高速化によりサポートされる
Socketed Gems are supported by Level {0} Life Leech,ソケットされたジェムはレベル{0}ライフリーチによりサポートされる
Socketed Gems are supported by Level {0} Increased Critical Damage,ソケットされたジェムはレベル{0}クリティカルダメージ増加によりサポートされる
Socketed Gems are supported by Level {0} Fork,ソケットされたジェムはレベル{0}分岐によりサポートされる
Socketed Gems are supported by Level {0} Elemental Damage with Attacks,ソケットされたジェムはレベル{0}アタック元素ダメージによりサポートされる
Socketed Gems are Supported by Level {0} Inspiration,ソケットされたジェムはレベル{0}インスピレーションによりサポートされる
Socketed Gems are Supported by Level {0} Generosity,ソケットされたジェムはレベル{0}寛大によりサポートされる
Socketed Gems are Supported by Level {0} Fortify,ソケットされたジェムはレベル{0}堅牢化によりサポートされる
Socketed Gems are Supported by Level {0} Blastchain Mine,ソケットされたジェムはレベル{0}連続爆破マインによりサポートされる
Socketed Gems are supported by Level {0} Chance to Flee,ソケットされたジェムはレベル{0}逃走付与によりサポートされる
Socketed Gems are Supported by Level {0} Faster Casting,ソケットされたジェムはレベル{0}キャストスピードによりサポートされる
Socketed Gems are Supported by Level {0} Iron Will,ソケットされたジェムはレベル{0}アイアンウィルによりサポートされる
Socketed Gems are Supported by Level {0} Knockback,ソケットされたジェムはレベル{0}ノックバックによりサポートされる
Socketed Gems are Supported by Level {0} Minion Life,ソケットされたジェムはレベル{0}ミニオンライフによりサポートされる
Socketed Gems are Supported by Level {0} Lesser Multiple Projectiles,ソケットされたジェムはレベル{0}投射物追加（小）によりサポートされる
Socketed Gems are Supported by Level {0} Minion Damage,ソケットされたジェムはレベル{0}ミニオンダメージによりサポートされる
Socketed Gems are Supported by Level {0} Increased Critical Damage,ソケットされたジェムはレベル{0}クリティカルダメージ増加によりサポートされる
Socketed Gems are Supported by Level {0} Minion Speed,ソケットされたジェムはレベル{0}ミニオンスピードによりサポートされる
Socketed Gems are supported by Level {0} Pierce,ソケットされたジェムはレベル{0}貫通によりサポートされる
Socketed Gems are Supported by Level {0} Pierce,ソケットされたジェムはレベル{0}貫通によりサポートされる
Socketed Gems are Supported by Level {0} Hypothermia,ソケットされたジェムはレベル{0}低体温化によりサポートされる
Socketed Gems are Supported by Level {0} Ice Bite,ソケットされたジェムはレベル{0}氷傷によりサポートされる
Socketed Gems are Supported by Level {0} Cold Penetration,ソケットされたジェムはレベル{0}冷気耐性貫通によりサポートされる
Socketed Gems are Supported by Level {0} Mana Leech,ソケットされたジェムはレベル{0}マナリーチによりサポートされる
Socketed Gems are Supported by Level {0} Added Cold Damage,ソケットされたジェムはレベル{0}冷気ダメージ追加によりサポートされる
Socketed Gems are Supported by Level {0} Blasphemy,ソケットされたジェムはレベル{0}冒涜によりサポートされる
Socketed Gems are Supported by Level {0} Innervate,ソケットされたジェムはレベル{0}イナーヴェイトによりサポートされる
Socketed Gems are Supported by Level {0} Vile Toxins,ソケットされたジェムはレベル{0}猛毒によりサポートされる
Socketed Gems are Supported by Level {0} Lesser Poison,ソケットされたジェムはレベル{0}のレッサーポイズンによってサポートされる
Socketed Minion Gems are Supported by Level {0} Life Leech,ソケットされたジェムはレベル{0}ライフリーチによりサポートされる
Socketed Gems are Supported by Level {0} Controlled Destruction,ソケットされたジェムはレベル{0}破壊制御によりサポートされる
Socketed Gems are Supported by Level {0} Endurance Charge on Melee Stun,ソケットされたジェムはレベル{0}近接スタン時エンデュランスチャージによりサポートされる
Socketed Gems have Blood Magic,ソケットされたジェムはブラッドマジックを持つ
Socketed Gems have {0}% increased Mana Reservation,ソケットされたジェムのマナリザーブが{0}%増加する
Socketed Gems have {0}% reduced Mana Reservation,ソケットされたジェムのマナリザーブが{0}%減少する
Socketed Gems Reserve No Mana,ソケットされたジェムはマナをリザーブしない
Socketed Skill Gems get a {0}% Mana Multiplier,ソケットされたスキルジェムは{0}%のマナマルチプライヤーを得る
Socketed Melee Gems have {0}% increased Area of Effect,ソケットされた近接ジェムの効果範囲が{0}%増加する
Socketed Melee Gems have {0}% reduced Area of Effect,ソケットされた近接ジェムの効果範囲が{0}%減少する
Socketed Red Gems get {0}% Physical Damage as Extra Fire Damage,ソケットされた赤ジェムは物理ダメージの{0}%を追加の火ダメージとして獲得する
Socketed Skills Summon your maximum number of Totems in formation,ソケットされたスキルは最大数のトーテムを一斉に召喚する
Socketed Gems have {0}% chance to Ignite,ソケットされたジェムは{0}%の確率で発火させる
Socketed Gems always Ignite,ソケットされたジェムは常に発火させる
Socketed Gems have {0}% chance to cause Enemies to Flee on Hit,ソケットされたジェムはヒット時に{0}%の確率で敵を逃走させる
Enemies slain by Socketed Gems drop {0}% increased item quantity,ソケットされたジェムにより倒された敵がドロップするアイテムの数量が{0}%増加する
Enemies slain by Socketed Gems drop {0}% reduced item quantity,ソケットされたジェムにより倒された敵がドロップするアイテムの数量が{0}%減少する
Curses in this item are reflected back to you,このアイテムの呪いはあなたに反射される
Socketed Gems have Iron Will,ソケットされたジェムはアイアンウィルを持つ
Socketed Gems Chain {0} additional times,ソケットされたジェムは追加で{0}回連鎖する
Socketed Gems have {0}% Critical Strike Chance,ソケットされたジェムのクリティカル率 {0}%
Spells in this item Repeat an additional time,このアイテムにソケットされたスペルは追加で1回繰り返す
Spells in this item Repeat an additional {0} times,このアイテムにソケットされたスペルは追加で{0}回繰り返す
{0}% chance to Trigger a Socketed Spell when you Attack with a Bow,弓で攻撃した時にソケットされたスペルをトリガーする確率が{0}%
Socketed Skills deal {0}% more Attack Damage,ソケットされたスキルのアタックダメージが{0}%上昇する
Socketed Skills deal {0}% less Attack Damage,ソケットされたスキルのアタックダメージが{0}%低下する
Socketed Attacks have {0}% to Critical Strike Chance,ソケットされたアタックスキルのクリティカル率 {0}%
Socketed Attacks have {0}% to Critical Strike Multiplier,ソケットされたアタックスキルのクリティカルダメージ倍率 {0}%
Socketed Attacks have {0} to Total Mana Cost,ソケットされたアタックスキルの合計マナコスト {0}
Socketed Gems have {0}% more Attack and Cast Speed,ソケットされたジェムのアタックスピードおよびキャストスピードが{0}%上昇する
Socketed Gems deal {0}% more Elemental Damage,ソケットされたジェムの元素ダメージが{0}%上昇する
Socketed Gems have {0}% reduced Mana Cost,ソケットされたジェムのマナコストが{0}%減少する
Socketed Gems have {0}% increased Mana Cost,ソケットされたジェムのマナコストが{0}%増加する
Socketed Gems deal {0} to {1} additional Fire Damage,ソケットされたジェムは追加の{0}から{1}の火ダメージを与える
Socketed Gems gain {0}% of Physical Damage as extra Lightning Damage,ソケットされたジェムは物理ダメージの{0}%を追加雷ダメージとして獲得
Socketed Movement Skills have no Mana Cost,ソケットされた移動スキルはマナコストを持たない
Socketed Skills have {0}% increased Attack Speed,ソケットされたスキルのアタックスピードが{0}%増加する
Socketed Skills have {0}% reduced Attack Speed,ソケットされたスキルのアタックスピードが{0}%減少する
Socketed Skills have {0}% increased Cast Speed,ソケットされたスキルのキャストスピードが{0}%増加する
Socketed Skills have {0}% reduced Cast Speed,ソケットされたスキルのキャストスピードが{0}%減少する
Socketed Skills deal {0}% more Spell Damage,ソケットされたスキルのスペルダメージが{0}%上昇する
Socketed Skills deal {0}% less Spell Damage,ソケットされたスキルのスペルダメージが{0}%低下する
Socketed Spells have {0}% to Critical Strike Chance,ソケットされたスペルのクリティカル率 {0}%
Socketed Spells have {0}% to Critical Strike Multiplier,ソケットされたスペルのクリティカルダメージ倍率 {0}%
Socketed Spells have {0}% increased Mana Cost,ソケットされたスペルのマナコストが{0}%増加する
Socketed Spells have {0}% reduced Mana Cost,ソケットされたスペルのマナコストが{0}%減少する
Socketed Gems deal {0}% more Damage over Time,ソケットされたジェムの継続ダメージが{0}%上昇する
Socketed Gems deal {0}% less Damage over Time,ソケットされたジェムの継続ダメージが{0}%低下する
Socketed Gems have Elemental Equilibrium,ソケットされたジェムはエレメンタルイクイリブリアムを獲得する
Socketed Non-Curse Aura Gems have {0}% increased Aura Effect,ソケットされた呪い以外のオーラジェムのオーラの効果が{0}%増加する
Socketed Non-Curse Aura Gems have {0}% reduced Aura Effect,ソケットされた呪い以外のオーラジェムのオーラの効果が{0}%減少する
Socketed Gems have {0}% increased Elemental Equilibrium effect,ソケットされたジェムは{0}%増加したエレメンタルイクイリブリアム効果を持つ
Socketed Gems have {0}% reduced Elemental Equilibrium effect,ソケットされたジェムは{0}%減少したエレメンタルイクイリブリアム効果を持つ
Socketed Gems fire an additional Projectile,ソケットされたジェムは投射物を追加で1個放つ
Socketed Gems fire {0} additional Projectiles,ソケットされたジェムは投射物を追加で{0}個放つ
Socketed Gems fire Projectiles in a Nova,ソケットされたジェムはノヴァ状に弾を発射する
