source,translation
Sniper,スナイパー
Pierce the Heart,心臓を射抜け
Surpassing Arrow Chance,矢の超過可能確率
Quick Fingers,速射
Spear Critical Chance,スピアクリティカル率
Spear Damage,スピアダメージ
Javelin,ジャベリン
Spear Attack Speed,スピアアタックスピード
Spear Accuracy,スピア命中力
Focused Thrust,精密な突き
Precise Point,精確な突き
Spear Engage and Disengage Damage,スピア交戦・離脱ダメージ
Spear Engage and Disengage Cooldown,スピア交戦・離脱クールダウン
Roll and Strike,回避からの一撃
Claw Damage,鉤爪ダメージ
Claw Speed,鉤爪スピード
DNT-UNUSED Claw Speed Notable,鉤爪スピードノータブル
Claw Critical Chance,鉤爪クリティカル率
DNT-UNUSED Claw Critical Chance Notable,鉤爪クリティカル率ノータブル
Claw Evasion with Claws,鉤爪・鉤爪装備時回避力
DNT-UNUSED Claw Evasion with Claws Notable,鉤爪・鉤爪装備時回避力ノータブル
Parry Area,パリィ範囲
Block,ブロック
Parried Duration,パリィ持続時間
Off-Balancing Retort,体勢崩しの反撃
Parried Debuff Magnitude,パリィのデバフ強度
Shield Evasion,盾回避力
Stun Threshold during Parry,パリィ中のスタン閾値
Parried Debuff Magnitude and Duration,パリィのデバフ強度および持続時間
Reprisal,応報
Resolute Reprisal,断固たる反撃
Projectile Parry Range,投射物パリィ範囲
Evasion during Parry,パリィ中の回避力
Sword Damage,剣ダメージ
Heavy Blade,ヘビーブレード
Sword Speed,剣スピード
Ripping Blade,切り裂きの刃
Sword Stances,剣スタンス
Stance Breaker,スタンスブレーカー
Shield Damage,盾装備時ダメージ
Lay Siege,包囲攻撃
Shield Block,盾ブロック
Greatest Defence,最大の防御
Wide Barrier,広範囲の障壁
Core of the Guardian,ガーディアンのコア
Defensive Stance,防御的構え
Shield Defences,盾防御力
Vigilance,警戒
Shield Attack Speed,盾アタックスピード
Defensive Reflexes,防御的反射
Block and Movement Penalty with Raised Shield,ブロックおよび盾を構えている時の移動スピードペナルティ
Movement Penalty with Raised Shield,盾を構えている時の移動スピードペナルティ
Block and Stun Threshold,ブロックおよびスタン閾値
Dazing Blocks,眩暈のブロック
Steadfast Resolve,断固たる決意
Maximum Block,ブロックの最大値
Frightening Shield,威圧の盾
Crossbow Damage,クロスボウダメージノータブル
Crossbow Critical Chance,クロスボウクリティカル率
Power Shots,パワーショット
Grenade Damage,グレネードダメージ
Repeating Explosives,繰り返す爆発
Crossbow Reload Speed,クロスボウリロードスピード
Rapid Reload,高速リロード
Reusable Ammunition,再利用可能な弾薬
Crossbow Close Range Damage,クロスボウ近距離でのダメージ
Full Salvo,全弾発射
Crossbow Damage and Reload Speed,クロスボウダメージおよびリロードスピード
Well Maintained Tools,手入れの行き届いた道具
Efficient Loading,効率リロード
Bolt Speed,ボルトスピード
Specialised Shots,特化ショット
Axe Damage,斧ダメージ
Axe Rage on Hit,斧ヒット時憤怒
Executioner,処刑人
Axe Attack Speed,斧アタックスピード
Maximum Rage with Axes,斧装備時憤怒の最大数
Whirling Onslaught,旋風の猛攻
Enraged Reaver,激怒した襲撃者
Axe Projectiles,斧投射物
DNT-UNUSED Axe Projectiles Notable,斧投射物ノータブル
Mace Damage,メイスダメージ
Mace Stun Buildup,メイススタン蓄積
Skullcrusher,スカルクラッシャー
Bone Breaker,ボーンブレイカー
Mace Damage and Stun Buildup,メイスダメージおよびスタン蓄積
Mace Area,メイス効果範囲
Mace Aftershock Chance,メイス余震確率
Mace Stun,メイススタン
Split the Earth,大地を裂け
DNT-UNUSED Mace Area Notable,メイス効果範囲ノータブル
Flail Damage,フレイルダメージ
Ball and Chain,玉と鎖
Flail Critical Chance,フレイルクリティカル率
Flail Critical Damage,フレイルクリティカル率
Morning Star,モーニングスター
Flail Elemental Ailments,フレイル元素系状態異常
Rattling Ball,振動する球体
Flail Area,フレイル効果範囲
Spiked Whip,棘のついた鞭
Staff Spell Damage,スタッフスペルダメージ
Implement of the Weaver,職工の道具
Staff Critical Chance,スタッフクリティカル率
Directed Forces,向けられた力
Caster Staff Spell Inherent Skills,キャスタースタッフスペル固有スキル
DNT-UNUSED Caster Staff Spell Inherent Skills Notable,キャスタースタッフスペル固有スキルノータブル
Wand Damage,ワンドダメージ
Twisted Implement,捻じれた道具
Tools of the Betrayed,裏切られたものの道具
Wand Spell Inherent Skills,ワンドスペル固有スキル
DNT-UNUSED Wand Spell Inherent Skills Notable,ワンドスペル固有スキルノータブル
Focus Energy Shield,フォーカスエナジーシールド
Curse Effect on Self,自身に対する呪い効果
Warding Fetish,護りの呪具
Spell Damage on full Energy Shield,フルエナジーシールド時スペルダメージ
Dreamcatcher,ドリームキャッチャー
Sceptre Spirit,セプタースピリット
DNT-UNUSED Sceptre Spirit Notable,セプタースピリットノータブル
One Handed Damage,片手武器ダメージ
Sweep and Slice,一掃し斬る
One Handed Attack Speed,片手武器アタックスピード
Versatile Arms,多機能武器
One Handed Accuracy,片手武器命中力
One Handed Critical Chance,片手武器クリティカル率
Push the Advantage,有利な状況を活かす
Impair,損害
One Handed Ailment Chance,片手状態異常確率
Coated Arms,塗布された武器
Two Handed Damage,両手武器ダメージ
Singular Purpose,唯一の目的
Two Handed Damage and Stun,両手武器ダメージおよびスタン
Heavy Contact,激しい接触
Colossal Weapon,巨大な武器
Curved Weapon,曲がった武器
Shockwaves,衝撃波
Overwhelm,圧倒
Two Handed Exerts,両手武器奮起
Dual Wielding Damage,二刀流ダメージ
Dual Wielding Accuracy,二刀流命中力
Cross Strike,十字斬り
Dual Wielding Speed,二刀流スピード
Blade Flurry,剣の乱舞
Dual Wielding Critical Chance,二刀流クリティカル率
DNT-UNUSED Dual Wielding Critical Chance Notable,二刀流クリティカル率ノータブル
Armour,アーマー
Polished Iron,光沢のある鉄
Armour and Applies to Fire Damage,アーマーおよび火ダメージに適用
Heatproof,耐熱処理
Armour and Slow Effect on You,アーマーおよびプレイヤーに対する減速効果
Unbreakable,破壊できぬもの
Projectile Bulwark,投射物防護壁
Blade Catcher,刃を受けるもの
Heavy Armour,重装防具
Made to Last,耐久性
Sturdy Metal,頑丈な金属
Impenetrable Shell,不可侵の殻
General's Bindings,将軍の拘束具
Armour and Applies to Cold Damage,アーマーおよび冷気ダメージに適用
Chillproof,耐冷却処理
Armour and  Applies to Lightning Damage,アーマーおよび雷ダメージに適用
Shockproof,耐感電処理
Tempered Defences,鍛えられた防御
Evasion,回避力
Evasion and Reduced Movement Penalty,回避力および移動スピードペナルティ減少
High Alert,高い警戒状態
Escape Strategy,逃走戦略
Careful Consideration,慎重な検討
Slow Effect on You,回避力
Deflection and Evasion,受け流しおよび回避
Freedom of Movement,移動の自由
Escape Velocity,脱出速度
Enhanced Reflexes,強化された反射神経
Beastial Skin,獣の皮膚
Afterimage,残像
DNT-UNUSED Evasion Notable,回避力ノータブル
Leather Bound Gauntlets,革製のガントレット
Catlike Agility,猫の素早さ
Energy Shield and Mana Regeneration,エナジーシールドおよびマナ自動回復
Energy Shield,エナジーシールド
Stun and Ailment Threshold from Energy Shield,エナジーシールドによるスタン閾値および状態異常閾値
Calibration,キャリブレーション
DNT-UNUSED Energy Shield Notable,エナジーシールドノータブル
Patient Barrier,耐久性の高いバリア
Insightfulness,洞察力
Melding,融合
Enhanced Barrier,強化バリア
Dampening Shield,抑制シールド
Heavy Buffer,強力な緩衝材
Illuminated Crown,光り輝く王冠
Armour and Evasion,アーマーおよび回避力
Strong Chin,頑丈な顎
Defiance,反抗
Backup Plan,代替案
Insulated Treads,絶縁された踏板
Comforted Heart,安心した心
Feel no Pain,痛みを感じない
Saqawal's Talon,サカワルの鉤爪
Saqawal's Hide,サカワルの革
Deflection,受け流し
Mutewind Agility,ミュートウィンドの敏捷さ
Tolerant Equipment,頑丈な装備
Brinerot Ferocity,ブラインロットの獰猛さ
Redblade Discipline,レッドブレードの鍛錬
Path of the Renegade,反逆者の道
Armour applies to Elemental Damage and Deflection,元素ダメージにアーマー適用および受け流し
Knight of Chitus,チタスの騎士
Knight of Tarcus,ターカスの騎士
Knight of Izaro,イザロの騎士
Evasion and Energy Shield,回避力およびエナジーシールド
Evasion and Energy Shield Delay,回避力およびエナジーシールド遅延
Spectral Ward,霊体の守り
Inner Faith,内なる信仰
Shadow Dancing,シャドウダンス
Immaterial,非物質化
Shimmering,煌めき
Deflection and Energy Shield Delay,受け流しおよびエナジーシールド遅延
Subterfuge Mask,偽装の仮面
First Teachings of the Keeper,守護者の最初の教え
First Principle of the Hollow,ホロウの第一原理
Mindful Awareness,注意深い気づき
The Hollowkeeper,ホロウキーパー
Armour and Energy Shield,アーマーおよびエナジーシールド
Ancient Aegis,古代のイージス
Fortified Aegis,強化されたイージス
Barrier of Venarius,ヴェナリウスの障壁
Spiral into Depression,鬱への悪循環
DNT-UNUSED Energy Shield and Armour Notable,エナジーシールドおよびアーマーノータブル
Armour Applies to Elemental Damage and Energy Shield Delay,元素ダメージにアーマー適用およびエナジーシールド遅延
Energy Shield Delay and Armour Applies to Elemental Damage,エナジーシールド遅延および元素ダメージにアーマー適用
"Morgana, the Storm Seer",嵐の予言者、モルガナ
Iron Slippers,鉄のスリッパ
Energy Shield and Armour applies to Elemental Damage Hits,エナジーシールドおよび元素ダメージヒットにアーマー適用
Armour and Energy Shield Delay,アーマーおよびエナジーシールド遅延
Ruinic Helm,ルーンの兜
Lysanda of Myr,ミールのリサンダ
Conall the Hunted,狩られしもの、コナル
Voll's Protection,ヴォールの保護
Dominus' Providence,ドミナスの摂理
Bhatair's Storm,バタイルの嵐
Cirel of Tarth's Light,タルスの光のシレル
Fire Resistance,火耐性
Armour Applies to Fire Damage Hits,火ダメージのヒットにアーマー適用
DNT-UNUSED Maximum Fire Resistance Notable,火耐性の最大値ノータブル
Cold Resistance,冷気耐性
Armour Applies to Cold Damage Hits,冷気ダメージのヒットにアーマー適用
DNT-UNUSED Maximum Cold Resistance Notable,冷気耐性の最大値ノータブル
Lightning Resistance,雷耐性
Armour Applies to Lightning Damage Hits,雷ダメージのヒットにアーマー適用
DNT-UNUSED Maximum Lightning Resistance Notable,雷耐性の最大値ノータブル
Elemental Resistances,元素耐性
DNT-UNUSED Elemental Resistances and Something Else Notable,元素耐性およびその他ノータブル
Unnatural Resilience,不自然な耐性
Prism Guard,プリズムガード
Maximum Elemental Resistances,元素耐性の最大値
UNUSED Levitation,浮遊
Ground Effect Effect,領域エフェクト効果
Ailment Threshold,状態異常閾値
Reduced Movement Penalty,移動スピードペナルティ減少
Unhindered,自由自在に
DNT-UNUSED Ailment Threshold Notable,状態異常閾値
Natural Immunity,自然免疫
Fan the Flames,火に油を注げ
Warm the Heart,心臓を温めよ
Feel the Earth,大地を感じよ
Shedding Skin,皮膚の脱皮
Energy Shield Delay,エナジーシールド遅延
Mana Regeneration,マナ自動回復
Mystic Stance,神秘的な構え
The Soul Meridian,魂の経絡
Rapid Recharge,高速リチャージ
Covering Ward,防護の守り
Essence Infusion,エッセンス注入
Refocus,最集中
Dependable Ward,信頼できる守り
Convalescence,療養
Mana Flask Charges Used,消費マナフラスコチャージ量
Arcane Mixtures,秘宝の混合物
Energy Shield Recoup,エナジーシールド回収
Storm Driven,嵐駆動
Block and Shield Defences,ブロックおよび盾防御力
Unstoppable Barrier,止められぬ障壁
Hunker Down,耐え忍ぶ
Towering Shield,聳え立つ盾
Defender's Resolve,防御者の覚悟
Swift Blocking,素早いブロック
Spiked Shield,棘のある盾
Shield Expertise,盾の専門知識
Block Recovery,ブロック復帰
Parry Damage,パリィダメージ
Parry Stun Buildup,パリィスタン蓄積
Swift Interruption,素早い妨害
Flashy Parrying,華麗な受け流し
Consistent Intake,定量摂取
Counterstancing,反撃の構え
Parry Area and Debuff Magnitude,パリィ範囲およびデバフ強度
Parry Debuff Magnitude,パリィのデバフ強度
Reverberating Parry,反響の受け流し
Glancing Deflection,かすめる受け流し
Brush Off,攻撃逸らし
Deflection Rating,受け流し力
Enduring Deflection,持続力のある受け流し
Avoiding Deflection,無力化の受け流し
Energising Deflection,エネルギーを与える受け流し
Evasion Rating,回避力
Staunch Deflection,頑強な受け流し
Trained Deflection,熟練の受け流し
Life Recoup,ライフ回収
Mending Deflection,癒しの受け流し
Stun Threshold,スタン閾値
Stun Recovery,スタン復帰
Resolution,覚悟
Quick Recovery,急速回復
Titan's Determination,タイタンの決意
Unbreaking,破壊不能
Stun Threshold and Strength,スタン閾値および筋力
Wary Dodging,用心深いドッジ
Stun Threshold if no recent Stun,直近スタンしていない場合のスタン閾値
Hefty Unit,重いユニット
Stun Threshold and Evasion Rating,スタン閾値および回避力
Unbending,不屈
Stun Threshold from Energy Shield,エナジーシールドによるスタン閾値
Austerity Measures,緊縮政策
Asceticism,禁欲主義
Self Mortification,自虐行為
Hallowed,神聖
Abasement,屈辱
Ailment Threshold from Energy Shield,エナジーシールドによる状態異常閾値
Shimmering Mirage,煌めく幻影
Eldritch Will,この世のものではない意志
Stun Threshold while on Full Life,フルライフ時のスタン閾値
Stun Threshold if not Stunned recently,直近スタンしていない場合のスタン閾値
Briny Carapace,海の甲羅
Unbroken Concentration,途切れない集中
Deft Recovery,迅速な回復
Back in Action,活動再開
Fire Damage,火ダメージ
Fire Damage and Armour,火ダメージおよびアーマー
Fire Penetration,火耐性貫通
Molten Carapace,マグマの装甲
Ignite Magnitude on You,プレイヤーに対する発火強度
One With Flame,炎と共にある者
Molten Being,マグマの者
Ignite Duration,発火持続時間
Melting Flames,溶かす炎
Self Immolation,焼身
Freeze and Chill Resistance,凍結および冷却耐性
Freeze and Chill Threshold,凍結および冷却閾値
Embracing Frost,霜を抱擁する
Reduced Chill Effect on You,プレイヤーに対する冷却効果減少
Slippery Ice,滑りやすい氷
DNT-UNUSED Extra Freeze and Chill Threshold after being Chilled or Frozen Notable,冷却または凍結した後の追加の冷却および凍結閾値ノータブル
Icebreaker,アイスブレイカー
Lightning Damage,雷ダメージ
Electrocute Buildup,麻痺蓄積
Electrocution,麻痺
Coursing Energy,流動するエネルギー
Reduced Shock Duration on You,プレイヤーに対する感電持続時間減少
Electrocuting Exposure,麻痺させる曝露
Life Regeneration,ライフ自動回復
Mass Rejuvenation,大規模な再生
Life Regeneration on Low Life,低ライフ時のライフ自動回復
Desperate Times,困難な時期
Life Regeneration while Stationary,静止中のライフ自動回復
Life Regeneration and Damage,ライフ自動回復およびダメージ
Resilient Soul,強靭な魂
Thickened Arteries,厚くなった動脈
Hard to Kill,殺しにくい
DNT-UNUSED Life Regeneration Notable,ライフ自動回復ノータブル
Hale Heart,健全な心
Stand Ground,踏ん張り
"Life Leech, Armour and Evasion while Leeching",ライフリーチ、リーチ中のアーマーおよび回避力
Life Leech,ライフリーチ
Attack Damage,アタックダメージ
Life Leech and Slower Leech,ライフリーチおよび遅いリーチ
Fortifying Blood,強化する血液
Voracious,欲深い
Bloodthirsty,血に飢えた
Goring,突進
Savoured Blood,堪能された血
Lifedrinking,命を飲むもの
Fast Metabolism,素早い代謝
Life Leech Speed,ライフリーチスピード
Life Leech and Physical Damage,ライフリーチおよび物理ダメージ
Life Regeneration Rate,ライフ自動回復レート
Loose Flesh,たるんだ肉
Taut Flesh,引き締まった肉
Heart Tissue,心臓の組織
Infused Flesh,注入された肉
Pliable Flesh,しなやかな肉
Glazed Flesh,艶のある肉
Arcane Surge Effect and Life Regeneration,アーケインサージ効果およびライフ自動回復
Life Regeneration Rate and Presence,ライフ自動回復レートおよび存在下
Sanguimantic Rituals,紅の儀式
Heartstopping Presence,心臓を止めるような存在感
Life Recoup Speed,ライフ回収スピード
Left Ventricle,左心室
Flow of Life,生命の流れ
Flow of Time,時の流れ
Life on Kill,キル時ライフ獲得
Mana Leech,マナリーチ
Immortal Infamy,不死の悪行
Life from Death,死から流れ出る命
Taste for Blood,血の味
DNT-UNUSED Life on Kill Notable,キル時ライフ獲得ノータブル
Life Flasks,ライフフラスコ
Refills,補充
Hale Traveller,健康な旅行者
Reinvigoration,再生
Life Flask Charges,ライフフラスコチャージ
Life Flask Charge Generation,ライフフラスコチャージ生成
Staunching,止血
Life Flask Recovery,ライフフラスコ回復
Flask Duration,フラスコ持続時間
Succour,救援
Heavy Drinker,大酒飲み
Rage on Hit,ヒット時憤怒
Blood of Rage,血の憤怒
Mana Flasks,マナフラスコ
Lavianga's Brew,ラビアンガの醸造
Tukohama's Brew,トゥコハマの醸造
Guard Flask Effect,ガードフラスコ効果
DNT-UNUSED Guard Flask Notable,ガードフラスコ効果
Fortified Brews,堅牢な飲み物
Flask Charges Gained,フラスコ獲得チャージ
Heavy Draught,重い一杯
Potent Concoctions,効力のある混合物
Flask Charges Used,フラスコチャージ消費
Efficient Alchemy,効率的な錬金術
Flask and Charm Charges Gained,フラスコおよびチャーム獲得チャージ
Lasting Concoctions,持続する混合物
Flask Recovery,フラスコ回復量
Savouring,堪能
Life and Mana Flask Recovery,ライフおよびマナフラスコ回復量
Combat Alchemy,戦闘用錬金術
Cautious Concoctions,慎重な調合薬
Critical Chance,クリティカル率
Crashing Wave,砕ける波
Critical Damage,クリティカルダメージ
Damage on Critical,クリティカル時ダメージ
Attack and Cast Speed on Critical,クリティカル時のアタックスピードおよびキャストスピード
Cruel Fate,残酷な運命
Leaping Ambush,跳躍の待ち伏せ
Direct Approach,クリティカル率ノータブル
True Strike,正確な一撃
For the Jugular,頸動脈を狙え
Critical Exploit,致命的な抜け道
Spell Critical Damage,スペルクリティカルダメージ
Moment of Truth,真実の瞬間
Preemptive Strike,先制攻撃
Desensitisation,感受性の低下
Cooked,まずいことになる
Deadly Force,致命的な力
Sundering,破断
Heartstopping,心臓が凍る
Heartbreaking,胸が張り裂ける
Struck Through,突き刺し
Attack Critical Damage,アタッククリティカルダメージ
Attack Critical Chance,アタッククリティカル率
Critical Chance and Damage,クリティカル率およびダメージ
Overwhelming Strike,圧倒する一撃
Vulgar Methods,粗野な手法
Barbaric Strength,野蛮人の筋力
Tainted Strike,汚れた一撃
Dispatch Foes,敵を一掃
Careful Assassin,注意深い暗殺者
Throatseeker,スロートシーカー
Decisive Retreat,巧妙な退避
Presence Area,存在下範囲
Bonded Precision,絆の精密性
Attack Speed,アタックスピード
Attack Speed and Flask Duration,アタックスピードおよびフラスコ持続時間
Attack Speed and Dexterity,アタックスピードおよび器用さ
Blurred Motion,ぼやけた動き
Attack Speed and Accuracy,アタックスピードおよび命中
Skill Speed,スキルスピード
Tenfold Attacks,十倍の攻撃
Stimulants,刺激剤
Reaving,襲撃
Mass Hysteria,集団ヒステリー
Falcon Technique,鷹の技術
Sand in the Eyes,目潰し
Deep Trance,深い催眠状態
Flow State,フロー状態
Blinding Flash,眩しい閃光
DNT-UNUSED Attack Speed Notable,アタックスピードノータブル
Blind Chance,盲目付与確率
Blood Rush,血の昂ぶり
Evasion Rating on Hit Recently,直近ヒットした場合の回避力
Agile Succession,素早い連撃
Cast Speed,キャストスピード
Final Barrage,最終バラージ
Casting Cascade,詠唱のカスケード
Effervescent,活気に満ちた
Overzealous,過剰な熱意
Spiral into Mania,躁病に陥る
Spell Haste,スペル詠唱迅速化
Practiced Signs,習熟したサイン
Erraticism,不規則性
Mental Alacrity,頭の回転の速さ
DNT-UNUSED Cast Speed Notable,キャストスピードノータブル
Hastening Barrier,加速のバリア
Stun Buildup,スタン蓄積
Hulking Smash,巨大な一撃
Titanic,タイタニック
Cranial Impact,頭部への衝撃
Perfect Opportunity,絶好の機会
Shattering Blow,粉砕の一撃
Flip the Script,シナリオを逆転させる
Easy Target,簡単な獲物
Mauling Stuns,殴打のスタン
Maximum Rage,憤怒の最大値
Rage when Hit,ヒットを受けた時の憤怒
Ignore Pain,痛みを無視する
Battle Trance,戦闘トランス状態
Prolonged Fury,長引く怒り
Later Rage Loss Start,憤怒喪失開始を遅く
Unforgiving,容赦なし
Vengeful Fury,復讐の怒り
Sudden Infuriation,怒りの爆発
Maximum Rage while Shapeshifted,シェープシフト中の憤怒最大値
Primal Rage,原始の憤怒
Invigorating Hate,活力の憎しみ
Rage Decay,憤怒喪失
Mystical Rage,神秘の憤怒
Rage on Ignite,発火時憤怒
Bleeding Duration,出血持続時間
Critical Bleeding Effect,クリティカル出血効果
Bleeding Chance,出血確率
Deep Wounds,深い傷
Bloodletting,流血
Bleeding Chance on Critical,クリティカル時出血確率
Attack Damage vs Bleeding Enemies,出血状態の敵へのダメージ
Perfectly Placed Knife,完璧な位置に刺されたナイフ
Aggravation,出血悪化
Bleeding Damage,出血ダメージ
Bleeding Out,出血死
Incision,切開
Inevitable Rupture,不可避の裂傷
Rusted Pins,錆びた足止め
Thousand Cuts,何千もの切り傷
Staggering Wounds,ふらつきの傷
Incision Chance,切開確率
Knockback,ノックバック
Pin Buildup,足止め蓄積
Flammability Magnitude,可燃性強度
Flammability and Ignite Magnitude,可燃性および発火強度
Immolation,火炙り
Slow Burn,燃焼遅く
Ignite Magnitude,発火強度
Firestarter,火つけ
Burnout,燃え尽き
Freeze Buildup,凍結蓄積
Inescapable Cold,逃れられぬ冷気
Shattering,粉砕
Chill Magnitude and Duration,冷却強度および持続時間
Chill Magnitude,冷却強度
Chill Effect,冷却効果
Chilled to the Bone,骨の髄まで冷える冷気
Perpetual Freeze,永久凍結
Freeze Threshold,凍結閾値
Cold Coat,冷気の覆い
Freeze Buildup and Skill Effect Duration,凍結蓄積およびスキル効果持続時間
Skill Effect Duration,スキル効果持続時間
Blessing of the Moon,月の祝福
Lightning Skill Chain Chance,雷スキル連鎖確率
Shock Effect,感電効果
Branching Bolts,枝分かれする雷
Frazzled,疲労困憊
Shock Chance,感電確率
General Electric,ゼネラル・エレクトリック
Drenched,ずぶ濡れ
Shock Duration,感電持続時間
Rattled,動揺
Harmonic Generator,ハーモニックジェネレーター
Lightning Damage and Resistance,雷ダメージおよび耐性
Conductive Embrace,感電の抱擁
DNT-UNUSED Shock Notable,感電確率
Poison Chance,毒付与確率
Poison Damage,毒ダメージ
Creeping Toxins,忍び寄る毒
Poison Duration,毒持続時間
Escalating Toxins,増大する毒
Building Toxins,蓄積する毒
Crippling Toxins,致命的な毒物
Leeching Toxins,リーチする毒
Lasting Toxins,持続する毒
Low Tolerance,低い耐性
Stacking Toxins,積み重なる毒
Toxic Tolerance,毒耐性
Toxic Sludge,毒性ヘドロ
Maim Effect,重傷効果
DNT-UNUSED Maim Effect Notable,重傷効果ノータブル
Damage against Maimed Enemies,重傷状態の敵に対するダメージ
DNT-UNUSED Damage against Maimed Enemies Notable,重傷状態の敵に対するダメージノータブル
Evasion if Consumed Frenzy Charge,フレンジチャージを消費した場合の回避力
Frenzy Charge Duration,フレンジーチャージ持続時間
Frenetic,狂乱
Savagery,残虐さ
Fervour,熱意
Endurance Charge Duration,エンデュランスチャージ持続時間
Recover Life on consuming Endurance Charge,エンデュランスチャージ消費時のライフ回復
Endurance,耐久力
Guts,胆力
Grit,根性
Armour if Consumed Endurance Charge,エンデュランスチャージ消費時アーマー
Fire Damage when consuming an Endurance Charge,エンデュランスチャージ消費時火ダメージ
Flare,フレア
Power Charge Duration,パワーチャージ持続時間
Critical Damage when consuming a Power Charge,パワーチャージ消費時のクリティカルダメージ
Lust for Power,力への渇望
Overflowing Power,溢れる力
The Power Within,内なる力
Energy Shield if Consumed Power Charge,パワーチャージを消費した場合のエナジーシールド
Recover Mana on consuming Power Charge,パワーチャージ消費時マナ回復
Well of Power,力の井戸
Infusion and Power Charge Duration,インフュージョンおよびパワーチャージ持続時間
Infusion of Power,力のインフュージョン
Power Charge Duration and Energy Shield,パワーチャージ持続時間およびエナジーシールド
Thirst for Power,力への渇望
Endurance Charge Duration and Armour,エンデュランスチャージ持続時間およびアーマー
Thirst for Endurance,耐久への渇望
Power and Endurance Charge Duration,パワーチャージおよびエンデュランスチャージ持続時間
Warcry Speed,ウォークライスピード
Empowered Attack Damage and Bleeding Chance,強化されたアタックダメージおよび出血確率
Warcry Cooldown,ウォークライクールダウン解消
Empowered Attack Damage,強化されたアタックダメージ
Warcry Damage,ウォークライダメージ
Cacophony,不協和音
Vocal Empowerment,声による強化
Warcry Cooldown Speed,ウォークライクールダウンスピード
Internal Bleeding,内出血
Bravado,見せかけの勇気
Deafening Cries,耳をつんざく叫び
Guttural Roar,唸る咆哮
Admonisher,忠告者
Warcry Power Counted,ウォークライ計算されるパワー
Bolstering Yell,強化の叫び
Warcry Cooldown and Speed,ウォークライクールダウンおよびスピード
Urgent Call,緊急の呼びかけ
Empowered Attack Damage and Power Counted,強化アタックダメージおよび計算されるパワー
Roaring Cries,咆哮のウォークライ
Explosive Empowerment,爆発性の強化
Cremating Cries,火葬のウォークライ
Extinguishing Exhalation,消火の吐息
Inherited Strength,受け継いだ力
Escalation,エスカレーション
Curse Activation Speed and Effect,呪いアクティブ化スピードおよび効果
Curse Effect,呪い効果
Impending Doom,迫りくる破滅
Zone of Control,制御区域
Curse Area,呪い効果範囲
Master of Hexes,呪術の達人
Curse Duration,呪い持続時間
Fated End,運命の終焉
Lingering Whispers,長引く囁き
Decrepifying Curse,老衰の呪い
Totem Damage,トーテムダメージ
Supportive Ancestors,支援する先祖
Carved Earth,彫りこまれた大地
Watchtowers,監視塔
Totem Attack Speed,トーテムアタックスピード
Totem Placement Speed,トーテム設置スピード
Totem Life,トーテムライフ
Ancestral Artifice,先祖の技巧
Ancestral Unity,先祖の団結
Hardened Wood,堅木
Spirit Bond,魂の絆
Ancestral Reach,先祖の届く範囲
Ancestral Alacrity,先祖の敏捷さ
Totem Cast and Attack Speed,トーテムキャストおよびアタックスピード
Totem Cast Speed,トーテムキャストスピード
Ancestral Conduits,先祖の流れ
Ancestral Mending,先祖の癒し
Totem Elemental Resistance,トーテム元素耐性
Totem Physical Damage Reduction,トーテム物理ダメージ軽減
Minion Damage,ミニオンダメージ
Minion Area,ミニオン効果範囲
