source,translation
Queen of the Forest,森の女王
Crown of Eyes,目の王冠
Demigod's Stride,半神の進歩
Windripper,ウィンドリッパー
Replica Windripper,ウィンドリッパー (レプリカ )
Death's Oath,死の誓約
Voidbringer,ヴォイドブリンガー
The Goddess Bound,縛られた女神
Belly of the Beast,魔獣の腹
Mindspiral,マインドスパイラル
Leer Cast,リアー・キャスト
Replica Leer Cast,リアー・キャスト (レプリカ )
Seven-League Step,セブンリーグ・ステップ
Dusktoe,ダスクトー
Battlehaste,バトルヘイスト
Wideswing,ワイドスウィング
Quecholli,ケチョーリ
Mordhau,モルダウ
Maligaro's Etcher,マリガロのエッチャー
Felltooth,フェルトゥース
Galla's Riposte,ガーラの突き返し
Pagan Geis,異教徒・ゲシュ
Stillwater,スティルウォーター
Wings of Entropy,エントロピーの翼
Replica Wings of Entropy,エントロピーの翼 (レプリカ )
Voltaxic Rift,ボルタキシック・リフト
Doedre's Elixir,ドードゥリの秘薬
Marylene's Fallacy,マリリンの誤信
Mana Sponge,マナ・スポンジ
Briskwrap,ブリスクラップ
Oro's Sacrifice,オロの生贄
Replica Oro's Sacrifice,オロの生贄 (レプリカ )
Cybil's Paw,シビルの前足
Prismatic Eclipse,プリズマティック・エクリプス
Daresso's Defiance,ダレッソの反抗
Santoni's Faith,サントーニの信仰
Ming's Heart,ミンの心臓
Lightning Coil,ライトニング・コイル
Romira's Banquet,ロミーラの祝宴
Dyadus,ダイヤダス
Sunblast,サンブラスト
Deerstalker,ディアーストーカー
Berek's Pass,ベレクの山道
Berek's Grip,ベレクの握り
Berek's Respite,ベレクの休息
The Taming,テイミング
Blood of the Warrior,戦士の血
Opportunity,好機
Lavianga's Spirits,ラヴィアンガの心
Uhtred's Chalice,ウートレドの杯
Replica Lavianga's Spirit,ラヴィアンガの心 (レプリカ )
The Gull,カモメ
Headhunter,ヘッドハンター
Replica Headhunter,ヘッドハンター (レプリカ )
Cloak of Defiance,反抗のクローク
Immortal Flesh,不死の肉
Fragment of Eternity,永遠の断片
Splinter of the Moon,月の欠片
Remnant of Empires,帝国の名残
Rust of Winter,冬の錆
Ashes of the Sun,太陽の灰殻
Thunder of the Dawn,夜明けの雷
Vestige of Divinity,神性の痕跡
Relic of the Cycle,循環の遺物
Tear of Entropy,エントロピーの涙
Chains of Time,時の鎖
Doon Cuebiyari,ドゥーン・キュビヤーリ
Lifesprig,ライフスプリッグ
Demigod's Touch,半神の接触
Ghostmarch,ゴーストマーチ
Death and Taxes,死と税金
Cagan's Map,ケイガンのマップ
Solaris Lorica,ソラリス・ロリカ
Chalice of Horrors,恐怖の杯
Death Rattle,デス・ラトル
Wheel of the Stormsail,ストームセールの舵輪
Ironweld,アイアンウェルド
Celestial Fragment,天体の断片
The Screaming Eagle,泣き叫ぶ鷲
Boreal Shepherd,北風の羊飼い
Bartek's Finger,バーテックの指
Stormblast,ストームブラスト
Fencoil,フェンコイル
Replica Fencoil,フェンコイル (レプリカ )
Bino's Kitchen Knife,ビノの包丁
Veil of the Night,夜の帳
Replica Veil of the Night,夜の帳 (レプリカ )
Song of the Sirens,セイレーンの歌
The Three Dragons,三頭のドラゴン
Shackles of the Wretched,哀れな者の手枷
Mjölner,ミョルナー
Dying Breath,断末魔
Snakebite,スネークバイト
Alberon's Warpath,アルベロンのウォーパス
Replica Alberon's Warpath,アルベロンのウォーパス (レプリカ )
Skullhead,スカルヘッド
Voideye,ヴォイドアイ
Replica Voideye,ヴォイドアイ (レプリカ )
Vaal Caress,ヴァールの愛撫
Drillneck,ドリルネック
Rearguard,リアガード
Pledge of Hands,手の誓約
Atziri's Step,アッツィリの歩み
Doryani's Invitation,ドリヤニの招待状
Atziri's Promise,アッツィリの約束
Atziri's Acuity,アッツィリの鋭敏さ
Replica Atziri's Acuity,アッツィリの鋭敏さ (レプリカ )
Atziri's Splendour,アッツィリの栄華
The Vertex,バーテックス
Atziri's Disfavour,アッツィリの嫌悪
Vis Mortis,ヴィズ・モーティス
Doryani's Catalyst,ドリヤニの触媒
Piscator's Vigil,ピスカトールの通夜
Demigod's Bounty,半神の賞品
DO NOT USE,使用禁止
Asphyxia's Wrath,アスフィクシアの憤怒
Incandescent Heart,光り輝く心
Hyrri's Bite,ハイリの噛みつき
Doomfletch,ドゥームフレッチ
Hyaon's Fury,ヒャオンの憤激
Perandus Bank,ペランダスの貯金箱
Kaom's Cache,カオムの貯蔵物
Empyrean Apparatus,天空の装置
Kaom's Roots,カオムの根
Fidelitas' Spike,フィデライタスのスパイク
Soul Strike,ソウル・ストライク
Replica Soul Strike,ソウル・ストライク (レプリカ )
Forbidden Taste,禁じられた味
Hegemony's Era,ヘゲモニーの時代
Scar of Fate,運命の傷跡
Blood of Summer,夏の血
Whakawairua Tuahu,ファカワイルア・トゥアーフ
Jaws of Agony,苦痛をもたらす顎
Thousand Teeth Temu,千の歯を持つテム
Fairgraves' Bearing,フェアグレーヴズの挙動
Mokou's Embrace,モコウの抱擁
Mark of the Doubting Knight,疑う騎士の紋章
Rumi's Concoction,ルミの調合薬
Replica Rumi's Concoction,ルミの調合薬 (レプリカ )
Dreamfeather,ドリームフェザー
Replica Dreamfeather,ドリームフェザー (レプリカ )
Gang's Momentum,ギャングの勢い
Nomic's Storm,ノーミクの嵐
Cherrubim's Maleficence,チェルビムの悪行
Apep's Rage,アペプの怒り
"Jack, The Axe",斧のジャック
Null and Void,空と虚
Flesh and Spirit,肉体と精神
Shadows and Dust,影と埃
The Harvest,ハーベスト
Replica Harvest,ハーベスト (レプリカ )
Edge of Madness,狂気の刃
The Dark Seer,闇を見るもの
Craghead,クラッグヘッド
Hall of Grandmasters,グランドマスターの殿堂
Malachai's Artifice,マラカイの術策
Replica Malachai's Artifice,マラカイの術策 (レプリカ )
Sentari's Answer,センタリの答え
Doomsower,ドゥームサワー
Great Old One's Ward,グレート・オールド・ワンの守り
Oba's Prized Cache,オバの秘蔵の貯蔵物
Oba's Riches,オバの宝物
Oba's Glittering Stash,オバの輝く隠匿物
Demigod's Eye,半神の目
Agnerod,アグネロッド
Agnerod East,アグネロッド 東
Talisman of the Victor,勝者の護符
The Blood Thorn,血の棘
Replica Blood Thorn,血の棘 (レプリカ )
Agnerod North,アグネロッド 北
Prismweave,プリズムウィーヴ
Replica Prismweave,プリズムウィーヴ (レプリカ )
Bated Breath,殺した息
Replica Bated Breath,殺した息 (レプリカ )
Kikazaru,キカザル
Reverberation Rod,反響の杖
Ungil's Harmony,アンギルの調和
Maligaro's Lens,マリガロのレンズ
Maligaro's Restraint,マリガロの拘束
The Broken Crown,壊れた王冠
Maloney's Nightfall,マローニーの夕暮れ
Surgebinders,サージバインダー
Belt of the Deceiver,騙す者のベルト
Timeclasp,タイムクラスプ
Bloodboil,ブラッドボイル
Null's Inclination,ヌルの意向
Rashkaldor's Patience,ラシュカルドールの忍耐力
Valako's Sign,ヴァラコの印
Tasalio’s Sign,タサリオの印
Replica Tasalio’s Sign,タサリオの印 (レプリカ )
Ngamahu’s Sign,ナマフの印
The Rat Cage,鼠の檻
Scold's Bridle,叱責の手綱
Brutus' Lead Sprinkler,ブルータスの鉛のスプリンクラー
Taste of Hate,憎しみの味
Greed's Embrace,貪欲の抱擁
Warped Timepiece,歪んだ砂時計
Doedre's Scorn,ドードゥリの軽蔑
Black Sun Crest,黒い太陽の紋章
Agnerod South,アグネロッド 南
Southbound,サウスバウンド
Grandmaster's Gemcutting Cache,グランドマスターの宝石貯蔵物
Grandmaster's Arcanist Cache,グランドマスターのアルカニストの貯蔵物
Grandmaster's Cartography Cache,グランドマスターの地図製作貯蔵物
Grandmaster's Ornate Cache,グランドマスターの華美な貯蔵物
Grandmaster's Treasury,グランドマスターの宝庫
Grandmaster's Trove,グランドマスターの財宝
Grandmaster's Corrupted Cache,グランドマスターの穢れた貯蔵物
Grandmaster's Large Cache,グランドマスターの大きな貯蔵物
Ventor's Gamble,ヴェンターのギャンブル
Heartbound Loop,ハートバウンド・ループ
Dyadian Dawn,ダイヤディアンの黎明
Sire of Shards,欠片の主権
Strange Barrel,不思議な樽
Victario's Influence,ヴィクタリオの影響力
The Consuming Dark,喰いつくす闇
Shaper's Seed,シェイパーの種
Tremor Rod,震えの杖
Relentless Fury,収まらぬ憤激
Cameria's Maul,カミリアの大槌
Kitoko's Current,キトコの流れ
Callinellus Malleus,カリネラス・マレウス
Death's Hand,死の手
The GoddessUnleashed,解放された女神
Ichimonji,イチモンジ
Empire's Grasp,帝国の掴み
The Restless Ward,休まぬ守り
Replica Restless Ward,休まぬ守り (レプリカ )
Lion's Roar,獅子の咆哮
Ornament of the East,東の飾り
The Whispering Ice,囁く氷
Tear of Purity,浄化の涙
Blood of Corruption,穢れの血
Lioneye's Vision,ライオンアイの未来像
Repentance,悔恨
Twyzel,トウィズル
Replica Twyzel,トウィズル (レプリカ )
Kingmaker,キングメーカー
Army of Bones,塵へ
Band of the Victor,勝者の環
Eldritch Knowledge,不可思議な知識
Inspired Learning,触発された学習
Martial Artistry,武術
Lioneye's Fall,ライオンアイの敗北
Intuitive Leap,直感的跳躍
Selfless Leadership,私心なき指導者
Survival Skills,サバイバルの技術
Survival Instincts,サバイバルの本能
Survival Secrets,サバイバルの秘密
Fertile Mind,肥沃な精神
Fluid Motion,滑らかな動き
Cannibalistic Habits,共食いの習慣
Spire of Stone,石の尖塔
Apparitions,幻影
Mantra of Flames,炎のマントラ
Bulwark Legion,補強された軍団
Vampire's Might,ヴァンパイアの力
Hotfooted,燃え上がる怒り
Replica Hotheaded,短気 (レプリカ )
Combustibles,可燃物
Weight of Sin,罪の重み
Fevered Mind,熱を持った心
The Naming Temporary,一時的名前
Fragile Bloom,儚い開花
Replica Fragile Bloom,儚い開花 (レプリカ )
Hidden Potential,隠された潜在能力
Rain of Splinters,欠片の雨
Malicious Intent,悪意のある意思
Brawn,筋力
Clear Mind,明晰な頭脳
Specialised,スペシャライズド
Miser of Misery,苦渋の収集
Efficient Training,能率的な訓練
Brute Force Solution,腕力を使った解決策
Inertia,慣性
Careful Planning,細心な計画
Sacrificial Harvest,生贄の収獲
Atziri's Reign,アッツィリの君臨
Vaal Sentencing,ヴァールの量刑
Poacher's Aim,ポーチャーのエイム
Warlord's Reach,ウォーロードのリーチ
Assassin's Haste,アサシンのヘイスト
Conqueror's Efficiency,征服者の能率
Replica Conqueror's Efficiency,征服者の能率 (レプリカ )
Conqueror's Potency,征服者の力
Conqueror's Longevity,征服者の長命
Ancient Waystones,古代の標石
Chill of Corruption,堕落の冷却
Mutated Growth,変異した成長
Hungry Abyss,空腹の深淵
Zerphi's Youth,ゼルフィの若さ
Corrupted Energy,堕落したエネルギー
Self-Flagellation,自己鞭打ち
Blood Sacrifice,血の生贄
Replica Blood Sacrifice,血の生贄 (レプリカ )
Brittle Barrier,脆い障壁
Pacifism,平和主義
Fragility,虚弱
Powerlessness,無力
Call of the Brotherhood,兄弟の証
Pugilist,ピュージリスト
Cold Steel,冷たい鋼
Fireborn,ファイヤーボーン
Energised Armour,エナジーが注入されたアーマー
Energy From Within,体内からのエナジー
Anatomical Knowledge,解剖の知識
Static Electricity,静電気
Healthy Mind,健全な精神
Might in All Forms,あらゆる形の力
Kingsguard,キングスガード
Goredrill,ゴアドリル
Bloodplay,ブラッドプレイ
Replica Bloodplay,ブラッドプレイ (レプリカ )
Abberath's Horn,アバラスの角
Realmshaper,レルムシェイパー
Wildslash,ワイルドスラッシュ
The Deep One's Hide,深き者の皮
Dreadarc,ドレッドアーク
Moonbender's Wing,ムーンベンダーの翼
The Princess,プリンセス
Lakishu's Blade,ラキーシュの刃
Gorebreaker,ゴアブレーカー
Lavianga's Wisdom,ラヴィアンガの知恵
Flesh-Eater,フレッシュ・イーター
The Stormheart,ストームハート
Brinerot Mark,ブラインロットの紋章
Redblade Band,レッドブレードの環
Mutewind Seal,ミュートウィンドの印章
Brinerot Flag,ブラインロットの旗
Redblade Banner,レッドブレードの紋章旗
Mutewind Pennant,ミュートウィンドの小旗
Demigod's Beacon,半神ののろし
Brinerot Whalers,ブラインロット・ウェーラーズ
Mutewind Whispersteps,ミュートウィンド・ウィスパーステップス
Redblade Tramplers,レッドブレード・トランプラーズ
Trolltimber Spire,トロールティンバーの尖塔
Jorrhast's Blacksteel,ジョルハストのブラックスティール
Crown of the Pale King,ペールキングの王冠
Ylfeban's Trickery,イルフバンのいたずら
Emberwake,エンバーウェーク
Replica Emberwake,エンバーウェーク (レプリカ )
Slivers of Providence,摂理の破片
Allure,魅惑
Replica Allure,魅惑 (レプリカ )
Steppan Eard,ステパン・アード
Broken Faith,壊れた信仰
The Pariah,パーリア
Coruscating Elixir,輝く秘薬
The Aylardex,エラーデックス
Shattered Chains,砕けた鎖
Weight of the Empire,帝国の重み
Pitch Darkness,真っ暗闇
Steel Spirit,鋼の精神
Growing Agony,増していく苦痛
Agnerod West,アグネロッド 西
The Vinktar Square,ヴィンクターの広場
Feastbind,フィーストバインド
Faminebind,ファミンバインド
The Retch,レッチ
Bloodgrip,ブラッドグリップ
Hezmana's Bloodlust,ヘズマナの殺気
Vessel of Vinktar,ヴィンクターの器
Kongming's Stratagem,孔明の軍略
Skyforth,スカイフォース
Reckless Defence,無謀な防御
Replica Reckless Defence,無謀な防御 (レプリカ )
Roth's Reach,ロスの射程
Winds of Change,変化をもたらす風
Rotgut,ロットガット
The Vigil,ヴィジル
Rolling Flames,波打つ炎
Winter's Bounty,冬の賜物
Spirited Response,勇ましい反響
Femurs of the Saints,聖者の大腿骨
Cannot Die,死ぬことができない
Elemental Weapon,元素の武器
Attribute Override,能力値必要条件無効化
Ailment Durations,状態異常持続時間
De-Playerification,プレイヤーではなくなる
Obliteration,消滅
Wyrmsign,ワームサイン
Spine of the First Claimant,最初の挑戦者の脊柱
Izaro's Turmoil,イザロの混乱
Chitus' Needle,チタスの針
Izaro's Dilemma,イザロのジレンマ
Extractor Mentis,エクストラクター・メンティス
The Dancing Dervish,ダルヴィーシュの舞
Dead Reckoning,腐物の凄惨
Rapid Expansion,迅速な拡大
Volley Fire,一斉射撃
Spirit Guards,精霊の衛兵
Iron Commander,鉄の司令官
Replica Iron Commander,鉄の司令官 (レプリカ )
Storm Prison,嵐の監獄
Eclipse Solaris,エクリプス・ソラリス
Disjunction,分離
Singularity,シンギュラリティ
Bitterdream,ビタードリーム
Replica Bitterdream,ビタードリーム (レプリカ )
Soulthirst,ソウルサースト
Night's Hold,夜の掌握
Essence Worm,エッセンス・ワーム
Star of Wraeclast,レイクラストの星
Blightwell,ブライトウェル
Natural Hierarchy,自然の階層
Rigwald's Curse,リグワルドの呪い
Eyes of the Greatwolf,大狼の目
Rigwald's Crest,リグワルドの紋章
Rigwald's Savagery,リグワルドの蛮行
Rigwald's Command,リグワルドの命令
Rigwald's Quills,リグワルドの針
"Caer Blaidd, Wolfpack's Den",カーイルブライズ・群狼の巣
Winterheart,ウィンターハート
Replica Winterheart,ウィンターハート (レプリカ )
Demigod's Dominance,半神の優越
The Writhing Jar,悶える瓶
Malachai's Loop,マラカイのループ
Ngamahu's Flame,ナマフの炎
WIP Stone Flask,WIP石のフラスコ
Borrowed Power,借り物の力
Umbilicus Immortalis,不滅の臍帯
Frost Unbroken,砕けない霜
Advancing Fortress,前進する要塞
Replica Advancing Fortress,前進する要塞 (レプリカ )
Xirgil's Crank,ザーギルのクランク
Deshret's Storm,デシュレットの嵐
Ashes of the Condemned,宣告された者の灰
Mutewind Cache,ミュートウィンドの貯蔵物
Redblade Cache,レッドブレードの貯蔵物
Brinerot Cache,ブラインロットの貯蔵物
Renegades Cache,レネゲードの貯蔵物
Trypanon,トライペーノン
Replica Trypanon,トライペーノン (レプリカ )
Widowmaker,ウィドウメイカー
Clayshaper,クレーシェイパー
Frostbreath,フロストブレス
Replica Frostbreath,フロストブレス (レプリカ )
The Tempestuous Steel,嵐の鋼
Replica Tempestuous Steel,嵐の鋼 (レプリカ )
Daresso's Passion,ダレッソの熱情
Ashcaller,アッシュコーラー
Liminal Coil,リミナルコイル
Runeseeker's Call,ルーンシーカーの呼び声
Reefbane,リーフベーン
The Sorrow of the Divine,神の嘆き
Replica Sorrow of the Divine,神の嘆き (レプリカ )
Geofri's Sanctuary,ジェフリの聖所
Axiom Perpetuum,アクシオム・パーペチュアム
Varunastra,ヴァルナストラ
Viper's Scales,ヴァイパーの鱗
Abberath's Hooves,アバラスの蹄
The Beast Fur Shawl,野獣の毛皮の肩掛け
Zerphi's Last Breath,ゼルフィの最期
The Overflowing Chalice,満ち溢れている杯
Rive,引き裂き
Cheap Construction,安い構造
Replica Cheap Construction,安い構造 (レプリカ )
Glitterdisc,グリターディスク
Hair Trigger,ヘアトリガー
Nuro's Harp,ヌーロの竪琴
Coated Shrapnel,コーティングされた榴散弾
Unstable Payload,不安定なペイロード
Replica Unstable Payload,不安定なペイロード (レプリカ )
Heretic's Veil,異教徒のベール
Emperor's Cunning,皇帝の悪知恵
Emperor's Wit,皇帝の知恵
Emperor's Might,皇帝の力
Emperor's Mastery,皇帝の制御
Victario's Charity,ヴィクタリオの慈善
Replica Victario's Charity,ヴィクタリオの慈善 (レプリカ )
The Perandus Manor,ペランダスの邸宅
Innsbury Edge,インズブリーの刃
Replica Innsbury Edge,インズブリーの刃 (レプリカ )
Duskwing,ダスクウィング
Bloodletter,ブラッドレター
Three-step Assault,スリーステップアサルト
Replica Three-step Assault,スリーステップアサルト (レプリカ )
The Rack,ラック
Cloak of Tawm'r Isley,ターマル・アイズレーのクローク
Grand Spectrum,グランド・スペクトラム
Ascent From Flesh,肉体からの解放
Mind of the Council,評議会の精神
Hinekora's Sight,ヒネコラの視界
Eventide Petals,夕闇の花びら
Immaculate Adherence,無垢なる忠誠
Kitava's Thirst,キタヴァの渇望
Scaeva,スケーヴァ
Saemus' Gift,シェイマスの贈り物
Veruso’s Battering Rams,ヴェルーソの破城槌
Kintsugi,キンツギ
Rumblemarch,ランブルマーチ
Underdog's Fury,負け犬の憤激
Touch of Anguish,苦悩の接触
Spiritskin,スピリットスキン
Hiltless,柄無し
Ewar's Mirage,イーワーの幻影
Lycosidae,コモリグモ
Voll's Vision,ヴォールの未来像
Malachai's Vision,マラカイの未来像
Karui Charge,カルイの突撃
Wall of Brambles,ブランブルの壁
Shavronne's Gambit,シャヴロンの策略
Death's Opus,死の楽曲
Cospri's Will,コスプリの意志
Forgotten Warden,忘れられし看守
The Ascetic,苦行者
Skirmish,小競り合い
The Learning Stone,学習の石
Grip of the Council,評議会の支配
Replica Grip of the Council,評議会の支配 (レプリカ )
Kiara's Determination,キアラの決心
Tinkerskin,ティンカースキン
Death's Door,死の扉
Reach of the Council,評議会の射程
Breath of the Council,評議会の息
Voidheart,ヴォイドハート
Cragfall,クラグフォール
The Signal Fire,狼煙
Ngamahu Tiki,ナマフ・ティキ
Hrimburn,フリムバーン
Martyr's Crown,殉教者の冠
Ezomyte Hold,エゾマイトの掌握
Deidbellow,ディードベロー
Thirst for Horrors,恐怖の渇望
The Oak,オーク
Kaltensoul,カルテンソウル
The Gryphon,グリフォン
The Cauteriser,コーテライザー
Doomfletch's Prism,ドゥームフレッチのプリズム
Silverbough,シルバーバゥ
The Tempest,暴風雨
Hrimnor's Dirge,フリムノーの悲歌
Amplification Rod,拡大の杖
Realm Ender,レルムエンダー
Queen's Escape,女王の逃亡
The Plaguemaw's Offering,プレイグモーの捧げ物
Kaom's Way,カオムの道
Praxis,プラクシス
Kondo's Pride,コンドウの誇り
Valyrium,ヴァリリウム
The Brass Dome,真鍮のドーム
Brain Rattler,脳揺らし
Razor of the Seventh Sun,七番目の太陽の刃
Eye of Innocence,イノセンスの目
Slivertongue,スリヴァータン
Obscurantis,オブスキュランティス
Snakepit,スネークピット
The Scourge,スカージ
